ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
CD4+ T cell,CD4+ T cell,22,-0.8753659808488896,-2.1332878935880673,1.1626776396722333e-7,1.8370306706821285e-5,1.2973034716342815e-5,907,"tags=73%, list=6%, signal=68%",969/5788/7293/916/1493/3575/920/3604/959/914/939/921/151888/4050/1235/50943
T cell,T cell,83,-0.6593921972192992,-2.040495130520077,8.679541934760471e-7,4.711688062229099e-5,3.327374647543535e-5,911,"tags=37%, list=6%, signal=35%",962/969/11126/2833/9308/5788/916/925/1493/4063/3558/7535/3575/920/50615/923/1791/914/939/915/2322/973/6402/6504/921/151888/1236/1235/643/50943/2208
Paneth cell,Paneth cell,256,-0.49059429559366624,-1.7376641467726492,9.625231057252586e-7,4.711688062229099e-5,3.327374647543535e-5,2336,"tags=33%, list=16%, signal=28%",7133/3552/2760/10673/3117/1441/3383/51765/118788/972/51296/7127/10007/27128/7456/8660/5724/3055/409/7128/5199/9450/10320/5341/150372/3059/6688/653361/864/3108/91373/5579/56833/9046/3635/3071/313/57823/10148/3394/3553/7454/7409/6614/3689/6039/3937/4794/4815/54504/7805/124460/6446/962/5330/3627/113/57713/339390/3122/8942/963/4689/695/83706/4046/1794/9308/5788/7185/7852/2675/64092/920/1844/3586/29933/8676/57705/397/958/10870/5880/30835/951
Immune cell,Immune cell,28,-0.8199399490207848,-2.0751073555112782,1.1928324208174934e-6,4.711688062229099e-5,3.327374647543535e-5,1279,"tags=64%, list=9%, signal=59%",57823/3689/962/969/963/9308/3683/5788/916/10225/4063/920/114836/923/914/30835/921/930
Naive T cell,Naive T cell,10,-0.9466474067626433,-1.9231792924214606,2.024768216577062e-6,6.398267564383516e-5,4.5184301254140746e-5,641,"tags=90%, list=5%, signal=86%",5788/916/925/3575/920/926/939/6402/1236
Microglial cell,Microglial cell,402,-0.42644634460767045,-1.5800096110687538,4.25961041257491e-6,1.1216974086447262e-4,7.92138076724457e-5,2264,"tags=26%, list=16%, signal=23%",2760/4478/4056/6867/9709/240/23646/1441/2752/11322/1960/64805/972/2192/51296/1052/11010/2823/23031/3570/29114/79713/23643/27128/5724/3587/3055/409/4542/154/718/170954/122618/140/9450/10320/5341/59345/6001/3059/4125/55320/112616/132299/4616/5803/3635/3071/91703/313/54518/3394/347733/7454/7409/64098/3689/6039/92241/2173/54504/7805/27181/2123/6446/5330/79626/57713/6404/3122/53829/55824/10381/79895/963/4689/286336/3603/51411/1794/9308/1880/9023/84329/5788/55303/5777/6850/117289/56944/4033/11151/54440/64092/5742/920/57121/393/397/958/27065/10870/1414/84002/951/89790
Regulatory T (Treg) cell,Regulatory T (Treg) cell,402,-0.42479322268478653,-1.5738846939262983,5.1748796063454735e-6,1.1680442540036927e-4,8.248680274776245e-5,1480,"tags=16%, list=10%, signal=14%",11156/3669/3560/3663/1026/941/3108/9495/112616/132299/340152/54541/10912/25861/10148/51237/94240/201633/9398/4815/124460/23495/64375/970/2833/3662/6404/140711/4174/9760/4689/201799/5452/9308/7185/7293/4049/916/1493/4940/10855/27334/64092/9047/10051/3575/920/3586/50615/966/3604/27033/939/943/915/6402/6504/974/1235/54733/50943/9214/390243
Follicular B cell,Follicular B cell,19,-0.8597839134274218,-2.039406742562678,5.927420708128344e-6,1.1706655898553479e-4,8.26719204028427e-5,1550,"tags=74%, list=11%, signal=66%",10320/941/5133/969/5788/958/50615/3604/959/939/933/2208/5079/1380
T helper cell,T helper cell,45,-0.7092420228334675,-1.9716568219216992,2.859147881546406e-5,5.019392947603691e-4,3.544674566595545e-4,907,"tags=36%, list=6%, signal=33%",969/2833/5788/916/3575/920/50615/959/915/2322/6402/921/151888/1236/1235/643
Central memory T cell,Central memory T cell,10,-0.9173590547243298,-1.86367799157085,4.590617350347714e-5,7.253175413549388e-4,5.122162517230081e-4,641,"tags=90%, list=5%, signal=86%",30009/5788/925/8320/3575/920/939/6402/1236
